id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile
847,Italia,Sicilia,Maschio,32,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Un po’ diminuito,Un po’ diminuito,Un po’ aumentato,Uguale,Un po’ diminuito,25-34,SALUTISTI
848,Italia,Lazio,Maschio,50,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,Un po’ aumentato,Molto aumentato,Uguale,Un po’ aumentato,Molto aumentato,Molto aumentato,Un po’ aumentato,45-54,TERRITORIALISTI
849,Italia,Toscana,Femmina,53,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,45-54,TERRITORIALISTI
850,Italia,Campania,Femmina,27,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,25-34,TERRITORIALISTI
852,Italia,Veneto,Maschio,48,Nord Est,Solo io,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,SREGOLATI
853,Italia,Sicilia,Femmina,45,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Un po’ aumentato,45-54,SALUTISTI
854,Italia,Lazio,Femmina,23,Centro,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",2-3 volte al mese,1 volta al mese,2-3 volte a settimana,1 volta a settimana,Mai,1 volta a settimana,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Un po’ aumentato,Uguale,Uguale,20-24,EDONISTI
855,Italia,Puglia,Femmina,52,Sud e Isole,Io e qualcun altro in egual misura,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",2-3 volte al mese,1 volta al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,LOCALIVORI
856,Italia,Sicilia,Maschio,64,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",Mai,1 volta al mese,1 volta a settimana,Mai,Tutti i giorni o quasi,Tutti i giorni o quasi,4-5 volte all’anno,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,Uguale,Un po’ aumentato,Molto diminuito,55-64,SALUTISTI
857,Italia,Sicilia,Maschio,43,Sud e Isole,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Uguale,Un po’ diminuito,Un po’ aumentato,35-44,RISTORIANI
858,Italia,Campania,Femmina,24,Sud e Isole,Soprattutto io,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",1 volta a settimana,Più raramente,Tutti i giorni o quasi,Più raramente,Tutti i giorni o quasi,Tutti i giorni o quasi,1 volta al mese,Molto diminuito,Un po’ diminuito,Un po’ diminuito,Molto diminuito,Uguale,Un po’ aumentato,Uguale,20-24,ESSENZIALISTI
859,Italia,Puglia,Maschio,48,Sud e Isole,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Un po’ aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,45-54,RISTORIANI
860,Italia,Sicilia,Femmina,22,Sud e Isole,Soprattutto io,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3 volte al mese,1 volta al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,1 volta al mese,Uguale,Uguale,Un po’ aumentato,Un po’ diminuito,Uguale,Uguale,Uguale,20-24,ETICISTI
862,Italia,Emilia Romagna,Femmina,32,Nord Est,Io e qualcun altro in egual misura,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta al mese,Più raramente,2-3 volte al mese,Mai,Tutti i giorni o quasi,Tutti i giorni o quasi,1 volta a settimana,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Uguale,Un po’ aumentato,Uguale,25-34,SALUTISTI
863,Italia,Piemonte,Maschio,59,Nord Ovest,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3 volte a settimana,1 volta a settimana,Tutti i giorni o quasi,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte al mese,Tutti i giorni o quasi,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Uguale,Molto diminuito,Un po’ aumentato,55-64,INDUSTRIARIANI
864,Italia,Puglia,"Altro, non vuole indicare",39,Sud e Isole,Io e qualcun altro in egual misura,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,35-44,SALUTISTI
865,Italia,Sicilia,Maschio,37,Sud e Isole,Io e qualcun altro in egual misura,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1 volta al mese,Più raramente,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,INDUSTRIARIANI
866,Italia,Abruzzo,Maschio,40,Sud e Isole,Solo altri membri della famiglia,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta a settimana,2-3 volte al mese,1 volta a settimana,Tutti i giorni o quasi,2-3 volte al mese,2-3 volte a settimana,2-3 volte a settimana,Uguale,Molto aumentato,Un po’ diminuito,Un po’ diminuito,Un po’ aumentato,Un po’ aumentato,Molto diminuito,35-44,ESTEROFILI
867,Italia,Molise,Femmina,63,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Molto diminuito,55-64,SALUTISTI
868,Italia,Toscana,Maschio,50,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,Mai,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,45-54,TERRITORIALISTI
869,Italia,Toscana,Femmina,50,Centro,Principalmente io e occasionalmente altri,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,Un po’ aumentato,Uguale,Un po’ aumentato,Uguale,Uguale,Un po’ aumentato,Uguale,45-54,ETICISTI
870,Italia,Sicilia,Femmina,28,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta al mese,Tutti i giorni o quasi,1 volta al mese,Tutti i giorni o quasi,Tutti i giorni o quasi,1 volta a settimana,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Un po’ diminuito,25-34,TERRITORIALISTI
871,Italia,Sicilia,Maschio,44,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,4-5 volte all’anno,Tutti i giorni o quasi,2-3 volte a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,TERRITORIALISTI
872,Italia,Sardegna,Maschio,23,Sud e Isole,Io e qualcun altro in egual misura,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,Più raramente,Più raramente,2-3 volte a settimana,2-3 volte al mese,Mai,Tutti i giorni o quasi,2-3 volte a settimana,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,20-24,SREGOLATI
874,Italia,Abruzzo,Maschio,63,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Più raramente,4-5 volte all’anno,2-3 volte al mese,Mai,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,55-64,TERRITORIALISTI
875,Italia,Sicilia,Femmina,26,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,Più raramente,1 volta al mese,2-3 volte al mese,2-3 volte al mese,1 volta al mese,1 volta al mese,Uguale,Un po’ aumentato,Uguale,Molto diminuito,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,25-34,TERRITORIALISTI
876,Italia,Marche,Femmina,56,Centro,Soprattutto altri membri della famiglia,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta a settimana,1 volta a settimana,1 volta a settimana,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Un po’ diminuito,Molto diminuito,Uguale,Molto aumentato,Un po’ diminuito,55-64,SALUBRISTI
877,Italia,Emilia Romagna,Femmina,42,Nord Est,Soprattutto io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta al mese,2-3 volte al mese,1 volta al mese,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Molto diminuito,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,35-44,SALUBRISTI
878,Italia,Calabria,Femmina,44,Sud e Isole,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3 volte al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,INDUSTRIARIANI
879,Italia,Sardegna,Femmina,22,Sud e Isole,Soprattutto io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",Più raramente,Più raramente,1 volta a settimana,Mai,Mai,2-3 volte a settimana,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,SALUBRISTI
880,Italia,Emilia Romagna,Maschio,23,Nord Est,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte a settimana,4-5 volte all’anno,4-5 volte all’anno,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,4-5 volte all’anno,Un po’ aumentato,Uguale,Molto aumentato,Molto aumentato,Un po’ diminuito,Un po’ aumentato,Molto aumentato,20-24,RISTORIANI
881,Italia,Marche,Maschio,47,Centro,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta al mese,2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta al mese,Molto diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Molto diminuito,Un po’ diminuito,Un po’ diminuito,45-54,SALUTISTI
882,Italia,Calabria,Femmina,30,Sud e Isole,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,2-3 volte al mese,2-3 volte a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte a settimana,2-3 volte al mese,Un po’ aumentato,Un po’ aumentato,Uguale,Molto aumentato,Un po’ aumentato,Molto aumentato,Molto aumentato,25-34,RISTORIANI
883,Italia,Abruzzo,Maschio,36,Sud e Isole,Soprattutto altri membri della famiglia,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta a settimana,1 volta a settimana,4-5 volte all’anno,Un po’ aumentato,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Uguale,Un po’ aumentato,35-44,TERRITORIALISTI
884,Italia,Toscana,Maschio,59,Centro,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,Uguale,Un po’ aumentato,Un po’ aumentato,Uguale,Molto aumentato,Uguale,Un po’ aumentato,55-64,ESTEROFILI
885,Italia,Puglia,Maschio,60,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,Più raramente,1 volta al mese,1 volta a settimana,Più raramente,1 volta al mese,1 volta al mese,Uguale,Uguale,Uguale,Un po’ aumentato,Un po’ diminuito,Uguale,Uguale,55-64,TERRITORIALISTI
886,Italia,Campania,Femmina,21,Sud e Isole,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta al mese,1 volta a settimana,Più raramente,Mai,1 volta a settimana,4-5 volte all’anno,Un po’ diminuito,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Uguale,20-24,TERRITORIALISTI
887,Italia,Puglia,Femmina,46,Sud e Isole,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte al mese,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,45-54,SALUTISTI
888,Italia,Puglia,Femmina,59,Sud e Isole,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte al mese,2-3 volte al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,55-64,SALUTISTI
890,Italia,Lazio,Femmina,40,Centro,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",Mai,1 volta a settimana,Mai,Mai,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,SALUTISTI
891,Italia,Emilia Romagna,Maschio,32,Nord Est,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,1 volta al mese,Più raramente,1 volta al mese,2-3 volte a settimana,1 volta a settimana,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Un po’ diminuito,Un po’ diminuito,Uguale,25-34,TERRITORIALISTI
892,Italia,Sicilia,Maschio,39,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte al mese,2-3 volte a settimana,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,35-44,TERRITORIALISTI
893,Italia,Emilia Romagna,Maschio,51,Nord Est,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",4-5 volte all’anno,Più raramente,1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,SALUTISTI
894,Italia,Sicilia,Femmina,37,Sud e Isole,Io e qualcun altro in egual misura,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",1 volta a settimana,2-3 volte al mese,Tutti i giorni o quasi,1 volta a settimana,Tutti i giorni o quasi,1 volta al mese,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,LOCALIVORI
895,Italia,Piemonte,Femmina,31,Nord Ovest,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Un po’ aumentato,Molto aumentato,Uguale,25-34,TERRITORIALISTI
896,Italia,Abruzzo,Femmina,43,Sud e Isole,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",Mai,Più raramente,2-3 volte a settimana,1 volta a settimana,2-3 volte al mese,Più raramente,Mai,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,SALUBRISTI
897,Italia,Campania,Maschio,24,Sud e Isole,Principalmente io e occasionalmente altri,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta al mese,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,1 volta al mese,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Un po’ aumentato,Un po’ diminuito,Molto aumentato,Uguale,20-24,ESTEROFILI
899,Italia,Calabria,Maschio,34,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,25-34,TERRITORIALISTI
900,Italia,Piemonte,Maschio,46,Nord Ovest,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",1 volta a settimana,1 volta al mese,2-3 volte al mese,2-3 volte al mese,1 volta a settimana,1 volta al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,LOCALIVORI
901,Italia,Lazio,Maschio,47,Centro,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta al mese,1 volta al mese,1 volta al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,SALUTISTI
902,Italia,Lombardia,Femmina,42,Nord Ovest,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Più raramente,1 volta al mese,1 volta a settimana,1 volta a settimana,1 volta al mese,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,TERRITORIALISTI
903,Italia,Abruzzo,Femmina,45,Sud e Isole,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,Uguale,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Molto aumentato,45-54,SALUTISTI
904,Italia,Toscana,Femmina,42,Centro,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,35-44,RISTORIANI
905,Italia,Lazio,Maschio,23,Centro,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",Tutti i giorni o quasi,Tutti i giorni o quasi,4-5 volte all’anno,Più raramente,Tutti i giorni o quasi,4-5 volte all’anno,1 volta a settimana,Un po’ aumentato,Uguale,Un po’ diminuito,Molto aumentato,Molto aumentato,Un po’ aumentato,Molto aumentato,20-24,SALUTISTI
906,Italia,Sicilia,Femmina,50,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,2-3 volte al mese,2-3 volte a settimana,2-3 volte al mese,1 volta al mese,1 volta al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,TERRITORIALISTI
907,Italia,Lombardia,Maschio,54,Nord Ovest,Io e qualcun altro in egual misura,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",4-5 volte all’anno,Più raramente,4-5 volte all’anno,2-3 volte al mese,4-5 volte all’anno,4-5 volte all’anno,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,INDUSTRIARIANI
908,Italia,Sardegna,Maschio,41,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,4-5 volte all’anno,Mai,1 volta a settimana,Mai,1 volta a settimana,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,TERRITORIALISTI
909,Italia,Piemonte,Femmina,32,Nord Ovest,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,1 volta a settimana,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,25-34,SALUTISTI
910,Italia,Trentino Alto Adige,Maschio,41,Nord Est,Solo io,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,Più raramente,Più raramente,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,4-5 volte all’anno,1 volta al mese,Uguale,Uguale,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ diminuito,35-44,SREGOLATI
911,Italia,Piemonte,Femmina,23,Nord Ovest,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Più raramente,1 volta a settimana,Mai,Tutti i giorni o quasi,1 volta a settimana,1 volta al mese,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,20-24,TERRITORIALISTI
913,Italia,Emilia Romagna,Femmina,38,Nord Est,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta a settimana,2-3 volte al mese,2-3 volte a settimana,Tutti i giorni o quasi,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,35-44,SALUBRISTI
914,Italia,Lazio,Femmina,37,Centro,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,35-44,ESTEROFILI
915,Italia,Friuli Venezia Giulia,Maschio,40,Nord Est,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,Più raramente,2-3 volte al mese,1 volta al mese,4-5 volte all’anno,1 volta al mese,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,TERRITORIALISTI
